0,1
25.977594,78.21456
14.0489435,59.940304
14.377391,78.2148
24.207378,48.591934
26.579004,86.6582
17.61992,73.042305
13.754593,73.693146
11.824014,81.07701
22.067272,65.31514
8.614156,74.89144
13.375227,55.44449
10.049866,81.59752
24.207378,48.591934
7.0311565,84.707054
12.446813,80.34948
11.873251,75.10017
3.9992325,79.84267
24.921635,60.935905
27.357567,80.642204
17.990767,36.759926
10.917465,81.77286
17.247145,73.326126
16.62006,73.84489
26.885029,83.26072
17.399075,55.05012
11.432597,82.55556
13.708927,78.28237
7.057011,80.89132
21.85272,58.562035
28.120035,75.76086
11.302706,74.891304
17.520494,74.91007
6.7899575,75.4212
27.632689,26.367147
19.711412,47.597904
13.149094,72.80879
15.6433735,60.924435
8.002853,80.517265
10.330748,79.774994
28.813877,74.31541
11.8160515,79.58462
14.715291,70.63788
24.593128,79.137436
