0,1,2,3,4,5,6,7
0.33613613613613613,0.33613613613613613,0.37377377377377374,0.4034034034034034,0.45505505505505506,0.5471471471471472,0.553153153153153,0.593993993993994
0.3097097097097097,0.36576576576576575,0.38298298298298294,0.4314314314314314,0.4890890890890891,0.5579579579579579,0.5987987987987988,0.5815815815815816
0.34254254254254257,0.35975975975975977,0.40660660660660664,0.4298298298298298,0.533133133133133,0.553153153153153,0.5987987987987988,0.5987987987987988
0.34854854854854855,0.39219219219219215,0.40660660660660664,0.4938938938938939,0.5267267267267267,0.5611611611611611,0.5987987987987988,0.5987987987987988
0.33773773773773774,0.39379379379379376,0.4222222222222222,0.46906906906906903,0.5267267267267267,0.571971971971972,0.5767767767767767,0.5971971971971972
0.37217217217217213,0.40660660660660664,0.4298298298298298,0.49069069069069066,0.5203203203203204,0.5627627627627627,0.5987987987987988,0.5703703703703704
0.3705705705705706,0.405005005005005,0.42822822822822826,0.4846846846846847,0.5455455455455456,0.5703703703703704,0.5751751751751751,0.5703703703703704
0.37217217217217213,0.4034034034034034,0.45025025025025023,0.4938938938938939,0.5191191191191191,0.5611611611611611,0.57997997997998,0.5471471471471472
0.38138138138138133,0.4002002002002002,0.45505505505505506,0.5003003003003003,0.5579579579579579,0.5735735735735735,0.571971971971972,0.5283283283283283
0.39379379379379376,0.4206206206206206,0.4454454454454454,0.45345345345345345,0.543943943943944,0.5579579579579579,0.571971971971972,0.5375375375375375
