0,1,2,3,4,5,6,7
49.87987987987988,39.38938938938939,34.06406406406406,31.26126126126126,30.34034034034034,29.37937937937938,26.576576576576578,26.416416416416418
40.630630630630634,38.62862862862863,32.06206206206206,30.94094094094094,28.93893893893894,27.217217217217218,26.896896896896898,23.933933933933936
42.832832832832835,32.66266266266266,31.26126126126126,29.21921921921922,28.45845845845846,25.015015015015017,24.534534534534536,22.972972972972975
37.50750750750751,32.98298298298298,29.37937937937938,30.34034034034034,26.896896896896898,23.933933933933936,23.133133133133136,22.69269269269269
32.98298298298298,31.9019019019019,30.34034034034034,28.61861861861862,26.576576576576578,25.015015015015017,22.21221221221221,22.21221221221221
34.38438438438438,32.06206206206206,30.02002002002002,28.61861861861862,25.175175175175177,23.773773773773776,23.133133133133136,22.21221221221221
32.5025025025025,31.1011011011011,29.0990990990991,27.53753753753754,26.416416416416418,23.933933933933936,22.53253253253253,21.89189189189189
32.06206206206206,30.18018018018018,29.85985985985986,27.65765765765766,23.933933933933936,23.133133133133136,22.972972972972975,21.57157157157157
31.9019019019019,28.93893893893894,29.37937937937938,27.217217217217218,26.416416416416418,24.254254254254256,22.812812812812812,21.73173173173173
32.22222222222222,30.66066066066066,28.2982982982983,24.534534534534536,25.655655655655657,23.613613613613616,23.933933933933936,23.133133133133136
