Location,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Portugal,397.1927415,384.4674121,376.6486919,371.0774964,366.7853021,363.3138663,360.4113857,357.9251952,355.756023,353.8358336,352.1160494,350.5608269,349.1429956,347.8414895,346.6396602,345.5241327,344.4840069,343.5102878,342.5954696,341.7332277,340.9181846,340.1457324,339.4118933,338.7132111,338.0466647,337.4095988,336.7996674,336.2147884,335.6531056,335.1129574,334.5928512,334.091441,333.6075093,333.1399512,332.6877615,332.2500225,331.8258948,331.4146085,331.0154559,330.627785,330.2509937,329.8845254,329.5278638,329.18053,328.8420782,328.5120934,328.1901883,327.876001,327.5691929,327.2694467,326.9764647,326.6899672,326.4096911,326.1353888,325.8668268,325.6037845,325.3460538,325.0934378,324.8457501,324.602814,324.3644622,324.1305354,323.9008829,323.6753608,323.4538326,323.2361682,323.0222434,322.8119402,322.6051456,322.4017517,322.2016557
Russia,436.9976625,424.2723331,416.4536129,410.8824174,406.5902231,403.1187873,400.2163067,397.7301163,395.560944,393.6407546,391.9209704,390.365748,388.9479166,387.6464105,386.4445812,385.3290538,384.288928,383.3152088,382.4003906,381.5381487,380.7231056,379.9506534,379.2168143,378.5181321,377.8515857,377.2145198,376.6045885,376.0197095,375.4580266,374.9178784,374.3977722,373.896362,373.4124303,372.9448723,372.4926825,372.0549435,371.6308158,371.2195295,370.8203769,370.432706,370.0559148,369.6894464,369.3327849,368.985451,368.6469992,368.3170144,367.9951093,367.680922,367.3741139,367.0743677,366.7813857,366.4948882,366.2146121,365.9403098,365.6717478,365.4087055,365.1509748,364.8983588,364.6506711,364.4077351,364.1693832,363.9354565,363.7058039,363.4802818,363.2587536,363.0410892,362.8271645,362.6168612,362.4100666,362.2066728,362.0065767
Saudi Arabia,350.2667209,337.5413915,329.7226713,324.1514758,319.8592815,316.3878457,313.4853651,310.9991746,308.8300024,306.909813,305.1900288,303.6348063,302.216975,300.9154689,299.7136396,298.5981122,297.5579863,296.5842672,295.669449,294.8072071,293.992164,293.2197118,292.4858727,291.7871905,291.1206441,290.4835782,289.8736468,289.2887678,288.727085,288.1869368,287.6668306,287.1654204,286.6814887,286.2139306,285.7617409,285.3240019,284.8998742,284.4885879,284.0894353,283.7017644,283.3249731,282.9585048,282.6018432,282.2545094,281.9160576,281.5860728,281.2641677,280.9499804,280.6431723,280.3434261,280.0504441,279.7639466,279.4836705,279.2093682,278.9408062,278.6777639,278.4200332,278.1674172,277.9197295,277.6767935,277.4384416,277.2045148,276.9748623,276.7493402,276.527812,276.3101476,276.0962228,275.8859196,275.679125,275.4757311,275.2756351
South Africa,381.7715935,369.046264,361.2275438,355.6563483,351.364154,347.8927182,344.9902377,342.5040472,340.334875,338.4146855,336.6949013,335.1396789,333.7218476,332.4203414,331.2185122,330.1029847,329.0628589,328.0891397,327.1743216,326.3120796,325.4970366,324.7245844,323.9907452,323.292063,322.6255167,321.9884508,321.3785194,320.7936404,320.2319576,319.6918094,319.1717032,318.670293,318.1863612,317.7188032,317.2666134,316.8288744,316.4047467,315.9934604,315.5943079,315.2066369,314.8298457,314.4633773,314.1067158,313.7593819,313.4209301,313.0909453,312.7690402,312.4548529,312.1480448,311.8482986,311.5553166,311.2688191,310.9885431,310.7142408,310.4456787,310.1826364,309.9249058,309.6722898,309.4246021,309.181666,308.9433141,308.7093874,308.4797348,308.2542127,308.0326846,307.8150201,307.6010954,307.3907922,307.1839975,306.9806037,306.7805077
South Korea,408.4937918,395.7684624,387.9497422,382.3785467,378.0863524,374.6149166,371.712436,369.2262455,367.0570733,365.1368839,363.4170997,361.8618772,360.4440459,359.1425398,357.9407105,356.825183,355.7850572,354.8113381,353.8965199,353.034278,352.2192349,351.4467827,350.7129436,350.0142614,349.347715,348.7106491,348.1007177,347.5158387,346.9541559,346.4140077,345.8939015,345.3924913,344.9085596,344.4410015,343.9888118,343.5510728,343.1269451,342.7156588,342.3165062,341.9288353,341.552044,341.1855757,340.8289141,340.4815803,340.1431285,339.8131437,339.4912386,339.1770513,338.8702432,338.570497,338.277515,337.9910175,337.7107414,337.4364391,337.1678771,336.9048348,336.6471041,336.3944881,336.1468004,335.9038643,335.6655125,335.4315857,335.2019332,334.9764111,334.7548829,334.5372185,334.3232937,334.1129905,333.9061959,333.702802,333.502706
Spain,400.8075903,388.0822609,380.2635407,374.6923452,370.4001509,366.9287151,364.0262345,361.5400441,359.3708718,357.4506824,355.7308982,354.1756758,352.7578444,351.4563383,350.254509,349.1389816,348.0988558,347.1251366,346.2103185,345.3480765,344.5330335,343.7605812,343.0267421,342.3280599,341.6615135,341.0244476,340.4145163,339.8296373,339.2679544,338.7278063,338.2077,337.7062898,337.2223581,336.7548001,336.3026103,335.8648713,335.4407436,335.0294573,334.6303047,334.2426338,333.8658426,333.4993742,333.1427127,332.7953788,332.456927,332.1269422,331.8050371,331.4908498,331.1840417,330.8842955,330.5913135,330.304816,330.02454,329.7502377,329.4816756,329.2186333,328.9609026,328.7082866,328.4605989,328.2176629,327.979311,327.7453843,327.5157317,327.2902096,327.0686814,326.851017,326.6370923,326.426789,326.2199944,326.0166006,325.8165046
Sweden,446.5301048,433.8047754,425.9860552,420.4148597,416.1226654,412.6512296,409.748749,407.2625586,405.0933863,403.1731969,401.4534127,399.8981903,398.4803589,397.1788528,395.9770235,394.8614961,393.8213703,392.8476511,391.9328329,391.070591,390.255548,389.4830957,388.7492566,388.0505744,387.384028,386.7469621,386.1370308,385.5521518,384.9904689,384.4503207,383.9302145,383.4288043,382.9448726,382.4773146,382.0251248,381.5873858,381.1632581,380.7519718,380.3528192,379.9651483,379.5883571,379.2218887,378.8652272,378.5178933,378.1794415,377.8494567,377.5275516,377.2133643,376.9065562,376.60681,376.313828,376.0273305,375.7470544,375.4727521,375.2041901,374.9411478,374.6834171,374.4308011,374.1831134,373.9401774,373.7018255,373.4678988,373.2382462,373.0127241,372.7911959,372.5735315,372.3596068,372.1493035,371.9425089,371.7391151,371.539019
Switzerland,429.2631267,416.5377973,408.7190771,403.1478816,398.8556873,395.3842515,392.4817709,389.9955805,387.8264082,385.9062188,384.1864346,382.6312122,381.2133808,379.9118747,378.7100455,377.594518,376.5543922,375.580673,374.6658549,373.8036129,372.9885699,372.2161176,371.4822785,370.7835963,370.1170499,369.479984,368.8700527,368.2851737,367.7234908,367.1833427,366.6632364,366.1618262,365.6778945,365.2103365,364.7581467,364.3204077,363.89628,363.4849937,363.0858411,362.6981702,362.321379,361.9549106,361.5982491,361.2509152,360.9124634,360.5824786,360.2605735,359.9463862,359.6395781,359.3398319,359.0468499,358.7603524,358.4800764,358.2057741,357.937212,357.6741697,357.416439,357.163823,356.9161353,356.6731993,356.4348474,356.2009207,355.9712681,355.745746,355.5242178,355.3065534,355.0926287,354.8823254,354.6755308,354.472137,354.272041
United Kingdom,420.0431615,407.3178321,399.4991119,393.9279164,389.6357221,386.1642863,383.2618057,380.7756153,378.606443,376.6862536,374.9664694,373.411247,371.9934156,370.6919095,369.4900803,368.3745528,367.334427,366.3607078,365.4458897,364.5836477,363.7686047,362.9961524,362.2623133,361.5636311,360.8970847,360.2600188,359.6500875,359.0652085,358.5035256,357.9633775,357.4432712,356.941861,356.4579293,355.9903713,355.5381815,355.1004425,354.6763148,354.2650285,353.8658759,353.478205,353.1014138,352.7349454,352.3782839,352.03095,351.6924982,351.3625134,351.0406083,350.726421,350.4196129,350.1198667,349.8268847,349.5403872,349.2601112,348.9858089,348.7172468,348.4542045,348.1964738,347.9438578,347.6961701,347.4532341,347.2148822,346.9809555,346.7513029,346.5257808,346.3042526,346.0865882,345.8726635,345.6623602,345.4555656,345.2521718,345.0520758
United States,404.161393,391.4360636,383.6173434,378.0461479,373.7539536,370.2825178,367.3800372,364.8938468,362.7246745,360.8044851,359.0847009,357.5294785,356.1116472,354.810141,353.6083118,352.4927843,351.4526585,350.4789393,349.5641212,348.7018792,347.8868362,347.1143839,346.3805448,345.6818626,345.0153162,344.3782503,343.768319,343.18344,342.6217571,342.081609,341.5615027,341.0600925,340.5761608,340.1086028,339.656413,339.218674,338.7945463,338.38326,337.9841074,337.5964365,337.2196453,336.8531769,336.4965154,336.1491815,335.8107297,335.4807449,335.1588398,334.8446525,334.5378444,334.2380982,333.9451162,333.6586187,333.3783427,333.1040404,332.8354783,332.572436,332.3147053,332.0620894,331.8144016,331.5714656,331.3331137,331.099187,330.8695344,330.6440123,330.4224841,330.2048197,329.990895,329.7805917,329.5737971,329.3704033,329.1703073
